set N:= 31886 31837 31892 31905 31930 31995 31947 31951 31965 31972 31983 31991 31994 32005 32004 32006 32046 32057 32106 32107 32119 32136 32144 32148 51522 32165 32188 32199 32211 32216 32256 32253 32255 32270 32288 32344 32353 32430 32434 32440 51539 32449 51540 32460 32490 32501 32519 32517 32518 32603 32619 32657 32658 51553 32673 32676 32677 51556 32684 32700 32709 32719 32718 32734 32733 32751 32776 32777 32826 32885 32896 32902 32912 32917 52814 48797;
set I:= 31837; 
set F:= 31837; 
param D default 0:= 
31886 31837 24.24372116
31905 31892 47.06271056
31930 31995 13.29730837
31995 31930 13.29730837
31947 31886 32.86280401
31951 31905 74.03290695
31965 31951 48.11076253
31837 31972 152.0784335
31983 31965 41.35582164
31972 31983 41.62521788
31991 31837 149.5800592
31994 31930 33.69841185
31930 31994 33.69841185
31995 32005 193.2032799
32004 31991 37.27501539
32005 32004 46.05487829
32006 31947 33.20309395
32046 31994 34.29345242
31994 32046 34.29345242
32057 32006 35.60992738
32106 32005 71.15725194
32005 32106 71.15725194
32107 32046 35.81212248
32046 32107 35.81212248
32119 32004 72.7331197
32004 32119 72.7331197
32106 32119 46.08979109
32119 32106 46.08979109
32136 31991 86.68411599
31991 32136 86.68411599
32119 32136 43.02386174
32136 32119 43.02386174
32144 32057 45.61513619
32148 51522 71.39048105
51522 32148 71.39048105
32136 32148 42.95059317
32148 32136 42.95059317
31837 32165 183.9404525
32148 32165 39.80108646
32165 32148 39.80108646
32188 32107 34.20128595
32107 32188 34.20128595
32199 32106 43.48432455
32106 32199 43.48432455
32211 32144 34.14689713
32216 32256 12.02085895
32256 32216 12.02085895
32165 32253 43.90903497
32199 32253 171.441263
32253 32199 171.441263
32255 32199 24.6804323
32199 32255 24.6804323
32256 32255 115.206078
32255 32256 115.206078
32270 32188 37.00799346
32188 32270 37.00799346
32288 32211 35.26360375
32344 32270 38.4290342
32270 32344 38.4290342
32353 32288 33.3202107
32430 32344 37.87440838
32344 32430 37.87440838
32434 32256 104.0392368
32256 32434 104.0392368
32430 32434 42.29863351
32434 32430 42.29863351
32440 51539 77.93307866
51539 32440 77.93307866
32434 32440 25.2970017
32440 32434 25.2970017
32449 51540 75.12208675
51540 32449 75.12208675
32440 32449 24.9242873
32449 32440 24.9242873
32460 32255 104.2109698
32255 32460 104.2109698
32449 32460 42.1935285
32460 32449 42.1935285
32460 32490 39.90543326
32490 32460 39.90543326
32490 32501 37.90453634
32501 32490 37.90453634
32501 32519 38.21278628
32519 32501 38.21278628
32517 32430 41.58280245
32430 32517 41.58280245
32518 32353 81.59756074
32253 32518 129.4472459
32519 32518 59.96829649
32518 32519 59.96829649
32603 32517 38.60710024
32517 32603 38.60710024
32619 32518 49.61660361
32657 32490 82.84937425
32490 32657 82.84937425
32658 32657 14.72150319
32657 32658 14.72150319
32657 51553 14.0355691
51553 32657 14.0355691
32673 32434 108.7198167
32434 32673 108.7198167
32676 32519 83.02110799
32519 32676 83.02110799
32677 32676 15.44246074
32676 32677 15.44246074
32676 51556 13.63043212
51556 32676 13.63043212
32684 32603 38.72258838
32603 32684 38.72258838
32700 32460 111.6930679
32460 32700 111.6930679
32673 32700 81.86062315
32700 32673 81.86062315
32709 32619 43.81131316
32700 32719 62.41262983
32719 32700 62.41262983
32718 32501 110.5207746
32501 32718 110.5207746
32719 32718 15.53547548
32718 32719 15.53547548
32718 32734 29.36406726
32734 32718 29.36406726
32518 32733 112.9432068
32734 32733 48.28288198
32733 32734 48.28288198
32751 32684 39.29563761
32684 32751 39.29563761
32776 32700 42.20087732
32700 32776 42.20087732
32777 32776 92.93524896
32776 32777 92.93524896
32826 32751 38.5979458
32751 32826 38.5979458
32885 32709 109.2859891
32733 32885 91.05111531
32896 32885 55.93580336
32885 32896 55.93580336
32896 32734 102.5198675
32734 32896 102.5198675
32902 32896 45.73861609
32896 32902 45.73861609
32902 32719 112.1328148
32719 32902 112.1328148
32912 32902 50.92910237
32902 32912 50.92910237
32912 32776 79.56172958
32776 32912 79.56172958
32917 32826 57.05878092
32826 32917 57.05878092
32917 32912 111.834102
32912 32917 111.834102
32440 52814 77.40579298
52814 32440 77.40579298
31995 48797 11.42191949
48797 31995 11.42191949
31892 48797 15.63055585
;
