Caso de Prueba | Semilla | Probabilidad | Parametro de iteraciones | Calidad Final

 Pequenio | 120 | 30 | 10000 | (28577) 

 Pequenio | 120 | 50 | 10000 | (20167) 

 Pequenio | 120 | 70 | 10000 | (20835) 

 Pequenio | 121 | 30 | 10000 | (21131) 

 Pequenio | 121 | 50 | 10000 | (26208) 

 Pequenio | 121 | 70 | 10000 | (34932) 

 Pequenio | 122 | 30 | 10000 | (24004) 

 Pequenio | 122 | 50 | 10000 | (29766) 

 Pequenio | 122 | 70 | 10000 | (35715) 

 Pequenio | 123 | 30 | 10000 | (17594) 

 Pequenio | 123 | 50 | 10000 | (32574) 

 Pequenio | 123 | 70 | 10000 | (31959) 

 Pequenio | 124 | 30 | 10000 | (29619) 

 Pequenio | 124 | 50 | 10000 | (28965) 

 Pequenio | 124 | 70 | 10000 | (12710) 

 Pequenio | 125 | 30 | 10000 | (13750) 

 Pequenio | 125 | 50 | 10000 | (28623) 

 Pequenio | 125 | 70 | 10000 | (10307) 

 Pequenio | 126 | 30 | 10000 | (30853) 

 Pequenio | 126 | 50 | 10000 | (28713) 

 Pequenio | 126 | 70 | 10000 | (32046) 

 Pequenio | 127 | 30 | 10000 | (18434) 

 Pequenio | 127 | 50 | 10000 | (30073) 

 Pequenio | 127 | 70 | 10000 | (30210) 

 Pequenio | 128 | 30 | 10000 | (10232) 

 Pequenio | 128 | 50 | 10000 | (29971) 

 Pequenio | 128 | 70 | 10000 | (36053) 

 Pequenio | 129 | 30 | 10000 | (37632) 

 Pequenio | 129 | 50 | 10000 | (29761) 

 Pequenio | 129 | 70 | 10000 | (35861) 

 Mediano | 120 | 30 | 10000 | (134050) 

 Mediano | 120 | 50 | 10000 | (121923) 

 Mediano | 120 | 70 | 10000 | (133569) 

 Mediano | 121 | 30 | 10000 | (131139) 

 Mediano | 121 | 50 | 10000 | (137751) 

 Mediano | 121 | 70 | 10000 | (124778) 

 Mediano | 122 | 30 | 10000 | (142343) 

 Mediano | 122 | 50 | 10000 | (114802) 

 Mediano | 122 | 70 | 10000 | (142613) 

 Mediano | 123 | 30 | 10000 | (127919) 

 Mediano | 123 | 50 | 10000 | (134270) 

 Mediano | 123 | 70 | 10000 | (140053) 

 Mediano | 124 | 30 | 10000 | (122020) 

 Mediano | 124 | 50 | 10000 | (134827) 

 Mediano | 124 | 70 | 10000 | (120641) 

 Mediano | 125 | 30 | 10000 | (109125) 

 Mediano | 125 | 50 | 10000 | (125539) 

 Mediano | 125 | 70 | 10000 | (145593) 

 Mediano | 126 | 30 | 10000 | (121580) 

 Mediano | 126 | 50 | 10000 | (129330) 

 Mediano | 126 | 70 | 10000 | (132705) 

 Mediano | 127 | 30 | 10000 | (120609) 

 Mediano | 127 | 50 | 10000 | (131050) 

 Mediano | 127 | 70 | 10000 | (132198) 

 Mediano | 128 | 30 | 10000 | (111476) 

 Mediano | 128 | 50 | 10000 | (139874) 

 Mediano | 128 | 70 | 10000 | (125527) 

 Mediano | 129 | 30 | 10000 | (119615) 

 Mediano | 129 | 50 | 10000 | (117681) 

 Mediano | 129 | 70 | 10000 | (130634) 

 Grande | 120 | 30 | 10000 | (492275) 

 Grande | 120 | 50 | 10000 | (498058) 

 Grande | 120 | 70 | 10000 | (453404) 

 Grande | 121 | 30 | 10000 | (528297) 

 Grande | 121 | 50 | 10000 | (488381) 

 Grande | 121 | 70 | 10000 | (512006) 

 Grande | 122 | 30 | 10000 | (454911) 

 Grande | 122 | 50 | 10000 | (464092) 

 Grande | 122 | 70 | 10000 | (478788) 

 Grande | 123 | 30 | 10000 | (494496) 

 Grande | 123 | 50 | 10000 | (460815) 

 Grande | 123 | 70 | 10000 | (496868) 

 Grande | 124 | 30 | 10000 | (454107) 

 Grande | 124 | 50 | 10000 | (471626) 

 Grande | 124 | 70 | 10000 | (486846) 

 Grande | 125 | 30 | 10000 | (444145) 

 Grande | 125 | 50 | 10000 | (491597) 

 Grande | 125 | 70 | 10000 | (502838) 

 Grande | 126 | 30 | 10000 | (474102) 

 Grande | 126 | 50 | 10000 | (456217) 

 Grande | 126 | 70 | 10000 | (516854) 

 Grande | 127 | 30 | 10000 | (484048) 

 Grande | 127 | 50 | 10000 | (499185) 

 Grande | 127 | 70 | 10000 | (513757) 

 Grande | 128 | 30 | 10000 | (484168) 

 Grande | 128 | 50 | 10000 | (461853) 

 Grande | 128 | 70 | 10000 | (483525) 

 Grande | 129 | 30 | 10000 | (526684) 

 Grande | 129 | 50 | 10000 | (522653) 

 Grande | 129 | 70 | 10000 | (511527) 
