Caso de Prueba | Semilla | Probabilidad | Parametro de iteraciones | Calidad Final

 Pequenio | 120 | 71 | 10000 | (18236) 

 Pequenio | 121 | 71 | 10000 | (34906) 

 Pequenio | 122 | 71 | 10000 | (35715) 

 Pequenio | 123 | 71 | 10000 | (21688) 

 Pequenio | 124 | 71 | 10000 | (24941) 

 Pequenio | 125 | 71 | 10000 | (24546) 

 Pequenio | 126 | 71 | 10000 | (32911) 

 Pequenio | 127 | 71 | 10000 | (28378) 

 Pequenio | 128 | 71 | 10000 | (36053) 

 Pequenio | 129 | 71 | 10000 | (35040) 

 Mediano | 120 | 71 | 10000 | (138397) 

 Mediano | 121 | 71 | 10000 | (138819) 

 Mediano | 122 | 71 | 10000 | (142613) 

 Mediano | 123 | 71 | 10000 | (140907) 

 Mediano | 124 | 71 | 10000 | (141053) 

 Mediano | 125 | 71 | 10000 | (145593) 

 Mediano | 126 | 71 | 10000 | (135419) 

 Mediano | 127 | 71 | 10000 | (136376) 

 Mediano | 128 | 71 | 10000 | (138606) 

 Mediano | 129 | 71 | 10000 | (137213) 

 Grande | 120 | 71 | 10000 | (508285) 

 Grande | 121 | 71 | 10000 | (470271) 

 Grande | 122 | 71 | 10000 | (485815) 

 Grande | 123 | 71 | 10000 | (496235) 

 Grande | 124 | 71 | 10000 | (522022) 

 Grande | 125 | 71 | 10000 | (487343) 

 Grande | 126 | 71 | 10000 | (496054) 

 Grande | 127 | 71 | 10000 | (471077) 

 Grande | 128 | 71 | 10000 | (490506) 

 Grande | 129 | 71 | 10000 | (513013) 
